0.0400000000 2.1403938805E+01 1.2890485979E+02
0.0200000000 1.0701647063E+01 6.4450565170E+01
0.0100000000 5.3504980108E+00 3.2223341343E+01
0.0050000000 2.6749226713E+00 1.6109710134E+01
0.0025000000 1.3371347961E+00 8.0528896855E+00
0.0012500000 6.6824080679E-01 4.0244782479E+00
0.0006250000 3.3379379920E-01 2.0102722254E+00
0.0003125000 1.6657029217E-01 1.0031691383E+00
0.0001562500 8.2958537837E-02 4.9961757563E-01
0.0000781250 4.1152660475E-02 2.4784178968E-01
0.0000390625 2.0249721737E-02 1.2195389543E-01
0.0000195313 9.7982523468E-03 5.9009947865E-02
0.0000097656 4.5725176386E-03 2.7537973836E-02
0.0000048828 1.9596503177E-03 1.1801987327E-02
0.0000024414 6.5321671439E-04 3.9339945671E-03
0.0000012207 0.0000000000E+00 0.0000000000E+00
