0.0400000000 2.1448214101E+01 1.2825577683E+02
0.0200000000 1.0695632335E+01 6.4383941341E+01
0.0100000000 5.3476300044E+00 3.2191421916E+01
0.0050000000 2.6735246675E+00 1.6094107872E+01
0.0025000000 1.3364450415E+00 8.0451802399E+00
0.0012500000 6.6789838094E-01 4.0206479542E+00
0.0006250000 3.3362332567E-01 2.0083645959E+00
0.0003125000 1.6648536518E-01 1.0022186008E+00
0.0001562500 8.2916276514E-02 4.9914452280E-01
0.0000781250 4.1131705058E-02 2.4760721355E-01
0.0000390625 2.0239412540E-02 1.2183849128E-01
0.0000195313 9.7932645781E-03 5.8954113180E-02
0.0000097656 4.5701901659E-03 2.7511919831E-02
0.0000048828 1.9586528786E-03 1.1790822343E-02
0.0000024414 6.5288425861E-04 3.9302737101E-03
0.0000012207 0.0000000000E+00 0.0000000000E+00
