  0.00000000   0.00000000   200.0000000000
  0.10000000   0.00000000   200.0000000000
  0.20000000   0.00000000   200.0000000000
  0.30000000   0.00000000   200.0000000000
  0.40000000   0.00000000   200.0000000000
  0.50000000   0.00000000   200.0000000000
  0.60000000   0.00000000   200.0000000000
  0.70000000   0.00000000   200.0000000000
  0.80000000   0.00000000   200.0000000000
  0.90000000   0.00000000   200.0000000000
  1.00000000   0.00000000   200.0000000000
  1.10000000   0.00000000   200.0000000000
  1.20000000   0.00000000   200.0000000000
  1.30000000   0.00000000   200.0000000000
  1.40000000   0.00000000   200.0000000000
  1.50000000   0.00000000   200.0000000000
  1.60000000   0.00000000   200.0000000000
  1.70000000   0.00000000   200.0000000000
  1.80000000   0.00000000   200.0000000000
  1.90000000   0.00000000   200.0000000000
  2.00000000   0.00000000   200.0000000000
  2.10000000   0.00000000   200.0000000000
  2.20000000   0.00000000   200.0000000000
  2.30000000   0.00000000   200.0000000000
  2.40000000   0.00000000   200.0000000000
  2.50000000   0.00000000   200.0000000000
  2.60000000   0.00000000   200.0000000000
  2.70000000   0.00000000   200.0000000000
  2.80000000   0.00000000   200.0000000000
  2.90000000   0.00000000   200.0000000000
  3.00000000   0.00000000   200.0000000000
  3.10000000   0.00000000   200.0000000000
  3.20000000   0.00000000   200.0000000000
  3.30000000   0.00000000   200.0000000000
  3.40000000   0.00000000   200.0000000000
  3.50000000   0.00000000   200.0000000000

  0.00000000   0.10000000   200.0000000000
  0.10000000   0.10000000   283.7467376849
  0.20000000   0.10000000   299.8076330574
  0.30000000   0.10000000   292.4522780014
  0.40000000   0.10000000   287.8614538630
  0.50000000   0.10000000   284.3510724712
  0.60000000   0.10000000   281.4172615436
  0.70000000   0.10000000   278.8957797056
  0.80000000   0.10000000   276.7246016890
  0.90000000   0.10000000   274.8715880766
  1.00000000   0.10000000   273.3112399732
  1.10000000   0.10000000   272.0174365202
  1.20000000   0.10000000   270.9618212402
  1.30000000   0.10000000   270.1142448205
  1.40000000   0.10000000   269.4438542666
  1.50000000   0.10000000   268.9202077985
  1.60000000   0.10000000   268.5141222791
  1.70000000   0.10000000   268.1981157571
  1.80000000   0.10000000   267.9463871411
  1.90000000   0.10000000   267.7343104891
  2.00000000   0.10000000   267.5374234956
  2.10000000   0.10000000   267.3298596745
  2.20000000   0.10000000   267.0821049537
  2.30000000   0.10000000   266.7578334983
  2.40000000   0.10000000   266.3093528376
  2.50000000   0.10000000   265.6707737446
  2.60000000   0.10000000   264.7472142146
  2.70000000   0.10000000   263.3966836574
  2.80000000   0.10000000   261.3976337962
  2.90000000   0.10000000   258.3865245933
  3.00000000   0.10000000   253.7277338491
  3.10000000   0.10000000   246.2171759769
  3.20000000   0.10000000   233.3371677399
  3.30000000   0.10000000   209.1771232834
  3.40000000   0.10000000   157.9950440724
  3.50000000   0.10000000     0.0000000000

  0.00000000   0.20000000   200.0000000000
  0.10000000   0.20000000   267.5578869600
  0.20000000   0.20000000   291.0339540586
  0.30000000   0.20000000   282.5073147162
  0.40000000   0.20000000   275.1120004408
  0.50000000   0.20000000   268.6821366778
  0.60000000   0.20000000   263.0490682549
  0.70000000   0.20000000   258.1213669944
  0.80000000   0.20000000   253.8479921711
  0.90000000   0.20000000   250.1894428438
  1.00000000   0.20000000   247.1041233761
