# dx 0.200000
# dy 0.200000
# imax 31
# jmax 21
# x psi
0.000000 0.000000
0.200000 3.951960
0.400000 7.880409
0.600000 11.756355
0.800000 15.542161
1.000000 19.192415
1.200000 22.659023
1.400000 25.898541
1.600000 28.878424
1.800000 31.580110
2.000000 33.998845
2.200000 36.141354
2.400000 38.022637
2.600000 39.662814
2.800000 41.084508
3.000000 42.310917
3.200000 43.364509
3.400000 44.266245
3.600000 45.035161
3.800000 45.688213
4.000000 46.240271
4.200000 46.704217
4.400000 47.091078
4.600000 47.410190
4.800000 47.669348
5.000000 47.874954
5.200000 48.032146
5.400000 48.144902
5.600000 48.216133
5.800000 48.247739
6.000000 48.247739
